GDAY_DS,T_ID,HEADER_NO,INN2,R,ER,PA,AB,HIT,H2,H3,HR,BB,IB,HP,KK,BF,WHIP,TB_SC,WLS
20200807,SS,0,27.0,0.0,0.0,34.0,32.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,142.0,4.09,T,W
20200807,WO,0,27.0,5.0,5.0,39.0,36.0,10.0,0.0,1.0,1.0,2.0,0.0,0.0,10.0,158.0,5.49,B,L
20200808,HT,0,27.0,2.0,2.0,40.0,31.0,6.0,1.0,2.0,0.0,7.0,0.0,2.0,6.0,160.0,9.07,B,W
20200808,LG,0,24.0,5.0,5.0,35.0,32.0,9.0,1.0,0.0,1.0,3.0,0.0,0.0,7.0,132.0,7.529999999999999,T,L
20200808,LT,0,15.0,1.0,1.0,16.0,16.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,1.27,T,D
20200808,NC,0,24.0,3.0,3.0,28.0,28.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,122.0,1.7400000000000002,T,L
20200808,OB,0,18.0,1.0,1.0,24.0,22.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,88.0,1.09,B,D
20200808,SK,0,15.0,2.0,2.0,19.0,17.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,66.0,1.18,B,W
20200808,SS,0,15.0,4.0,2.0,22.0,19.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,80.0,1.58,T,L
20200808,WO,0,27.0,1.0,1.0,35.0,32.0,8.0,2.0,0.0,1.0,3.0,0.0,0.0,4.0,128.0,5.22,B,W
20200809,HH,0,27.0,6.0,6.0,42.0,37.0,12.0,5.0,0.0,1.0,5.0,0.0,0.0,9.0,181.0,11.34,B,L
20200809,HT,0,27.0,8.0,8.0,45.0,39.0,14.0,2.0,1.0,1.0,5.0,0.0,1.0,8.0,205.0,8.31,B,L
20200809,KT,0,27.0,3.0,2.0,38.0,34.0,8.0,1.0,0.0,1.0,3.0,0.0,0.0,12.0,170.0,6.0600000000000005,T,W
20200809,LG,0,24.0,2.0,1.0,34.0,28.0,7.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,130.0,2.32,T,L
20200809,NC,0,27.0,1.0,1.0,41.0,32.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,179.0,7.04,T,W
20200809,WO,0,27.0,1.0,1.0,31.0,30.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,116.0,4.859999999999999,B,W
20200811,HH,0,36.0,5.0,4.0,56.0,45.0,12.0,1.0,0.0,1.0,7.0,0.0,1.0,13.0,235.0,16.63,T,W
20200811,HT,0,21.0,3.0,3.0,30.0,29.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,125.0,6.1899999999999995,T,W
20200811,KT,0,27.0,1.0,0.0,34.0,30.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,139.0,4.49,B,W
20200811,LG,0,27.0,8.0,8.0,43.0,35.0,11.0,3.0,0.0,0.0,6.0,0.0,1.0,3.0,172.0,6.1000000000000005,B,L
20200811,OB,0,27.0,1.0,1.0,36.0,34.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,151.0,5.81,T,W
20200811,SK,0,24.0,6.0,6.0,38.0,31.0,11.0,2.0,0.0,1.0,6.0,0.0,0.0,8.0,170.0,7.27,T,L
20200811,SS,0,27.0,6.0,6.0,39.0,33.0,9.0,1.0,0.0,1.0,6.0,0.0,0.0,4.0,172.0,9.920000000000002,B,L
20200811,WO,0,36.0,7.0,5.0,55.0,44.0,10.0,1.0,0.0,1.0,6.0,1.0,2.0,10.0,215.0,13.059999999999999,B,L
20200812,HH,0,28.0,3.0,3.0,39.0,30.0,9.0,2.0,0.0,1.0,6.0,0.0,1.0,3.0,153.0,8.620000000000001,T,L
20200812,HT,0,24.0,8.0,8.0,37.0,34.0,12.0,5.0,0.0,0.0,3.0,0.0,0.0,9.0,140.0,4.890000000000001,T,L
20200812,KT,0,27.0,11.0,11.0,46.0,36.0,12.0,3.0,0.0,1.0,9.0,0.0,1.0,5.0,177.0,7.41,B,L
20200812,LG,0,27.0,0.0,0.0,35.0,29.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,14.0,166.0,6.82,B,W
20200812,LT,0,27.0,4.0,4.0,41.0,35.0,9.0,1.0,0.0,0.0,5.0,0.0,0.0,8.0,157.0,4.21,B,W
20200812,NC,0,24.0,8.0,8.0,41.0,33.0,13.0,3.0,0.0,1.0,4.0,0.0,2.0,4.0,148.0,6.0600000000000005,T,L
20200812,OB,0,27.0,8.0,8.0,43.0,42.0,16.0,4.0,0.0,2.0,1.0,0.0,0.0,6.0,169.0,8.73,T,W
