T_ID,GDAY_DS,HEADER_NO,NAME,INN2,R,ER,PA,AB,HIT,H2,H3,HR,BB,IB,HP,KK,BF,WHIP,MONEY,AGE_VA
LG,20200818,0,김대현,4.0,3.0,3.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,3.54,24000.0,46
LG,20200818,0,송은범,27.0,1.0,1.0,33.0,31.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,8.0,132.0,15.58,216000.0,288
LG,20200818,0,임찬규,74.0,11.0,11.0,108.0,87.0,18.0,8.0,0.0,2.0,20.0,0.0,1.0,25.0,487.0,6.470000000000001,67500.0,140
LG,20200818,0,정우영,44.0,1.0,1.0,51.0,47.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,14.0,180.0,10.719999999999999,88000.0,231
LG,20200818,0,진해수,18.0,2.0,2.0,31.0,28.0,10.0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,126.0,17.78,300000.0,408
LG,20200818,0,최동환,23.0,6.0,6.0,31.0,28.0,7.0,4.0,0.0,1.0,3.0,0.0,0.0,6.0,116.0,15.36,77000.0,341
LG,20200818,0,최성훈,20.0,6.0,6.0,32.0,28.0,11.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,125.0,13.83,51700.0,341
LG,20200819,0,여건욱,11.0,5.0,5.0,19.0,18.0,7.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,71.0,5.7700000000000005,28000.0,136
LG,20200819,0,이정용,36.0,4.0,4.0,48.0,43.0,8.0,1.0,0.0,2.0,4.0,0.0,1.0,17.0,185.0,12.11,29700.0,253
LG,20200819,0,진해수,20.0,2.0,2.0,34.0,31.0,11.0,0.0,0.0,1.0,2.0,0.0,1.0,6.0,145.0,19.310000000000002,325000.0,442
LG,20200819,0,최동환,24.0,6.0,6.0,32.0,29.0,7.0,4.0,0.0,1.0,3.0,0.0,0.0,6.0,121.0,16.7,84000.0,372
LG,20200819,0,켈리,96.0,11.0,10.0,131.0,120.0,29.0,6.0,0.0,2.0,7.0,0.0,1.0,23.0,490.0,6.65,450000.0,155
LG,20200820,0,고우석,25.0,3.0,3.0,34.0,31.0,7.0,3.0,0.0,1.0,3.0,0.0,0.0,10.0,146.0,17.189999999999998,176000.0,176
LG,20200820,0,김윤식,64.0,17.0,17.0,100.0,86.0,24.0,6.0,0.0,2.0,11.0,0.0,2.0,16.0,383.0,8.12,13500.0,100
LG,20200820,0,송은범,31.0,2.0,2.0,38.0,35.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,8.0,154.0,17.24,243000.0,324
LG,20200820,0,정우영,47.0,3.0,3.0,57.0,51.0,7.0,0.0,0.0,0.0,3.0,1.0,1.0,16.0,203.0,11.669999999999998,96000.0,252
LG,20200820,0,최성훈,21.0,6.0,6.0,33.0,29.0,11.0,1.0,0.0,0.0,2.0,0.0,1.0,5.0,129.0,15.16,56400.0,372
LG,20200821,0,윌슨,107.0,14.0,11.0,153.0,131.0,30.0,3.0,0.0,2.0,15.0,0.0,3.0,33.0,595.0,8.27,660000.0,186
LG,20200821,0,이정용,39.0,6.0,6.0,54.0,48.0,10.0,1.0,0.0,3.0,5.0,0.0,1.0,19.0,206.0,13.26,32400.0,276
LG,20200821,0,진해수,21.0,2.0,2.0,35.0,32.0,11.0,0.0,0.0,1.0,2.0,0.0,1.0,7.0,150.0,20.830000000000002,350000.0,476
LG,20200823,0,송은범,35.0,3.0,3.0,44.0,41.0,7.0,2.0,0.0,1.0,3.0,0.0,0.0,8.0,168.0,18.889999999999997,270000.0,360
LG,20200823,0,임찬규,92.0,14.0,12.0,133.0,107.0,21.0,9.0,0.0,2.0,24.0,0.0,1.0,30.0,591.0,7.8100000000000005,81000.0,168
LG,20200823,0,최동환,25.0,6.0,6.0,33.0,30.0,7.0,4.0,0.0,1.0,3.0,0.0,0.0,6.0,123.0,18.03,91000.0,403
LG,20200823,0,최성훈,25.0,6.0,6.0,37.0,33.0,12.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,141.0,16.45,61100.0,403
LG,20200824,0,김대현,9.0,4.0,4.0,16.0,15.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,64.0,5.29,36000.0,69
LG,20200824,0,성재헌,2.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,2700.0,23
LG,20200824,0,이정용,43.0,7.0,6.0,60.0,51.0,10.0,1.0,0.0,3.0,6.0,0.0,1.0,19.0,226.0,14.379999999999999,35100.0,299
LG,20200824,0,정찬헌,48.0,10.0,10.0,78.0,69.0,24.0,3.0,0.0,3.0,7.0,0.0,1.0,10.0,285.0,3.92,39000.0,90
LG,20200824,0,진해수,22.0,3.0,3.0,39.0,33.0,12.0,0.0,0.0,1.0,3.0,0.0,1.0,7.0,164.0,22.400000000000002,375000.0,510
LG,20200825,0,송은범,38.0,3.0,3.0,48.0,45.0,8.0,2.0,0.0,1.0,3.0,0.0,0.0,9.0,186.0,20.519999999999996,297000.0,396
LG,20200825,0,정우영,48.0,3.0,3.0,58.0,52.0,7.0,0.0,0.0,0.0,3.0,1.0,1.0,16.0,208.0,12.609999999999998,104000.0,273
LG,20200825,0,진해수,24.0,3.0,3.0,41.0,35.0,12.0,0.0,0.0,1.0,3.0,0.0,1.0,7.0,171.0,23.930000000000003,400000.0,544
LG,20200825,0,켈리,114.0,15.0,14.0,155.0,144.0,35.0,7.0,0.0,4.0,7.0,0.0,1.0,26.0,574.0,7.930000000000001,540000.0,186
LG,20200826,0,고우석,28.0,3.0,3.0,37.0,34.0,7.0,3.0,0.0,1.0,3.0,0.0,0.0,10.0,157.0,18.81,198000.0,198
LG,20200826,0,이민호,71.0,16.0,16.0,106.0,95.0,28.0,6.0,0.0,2.0,7.0,0.0,3.0,14.0,414.0,5.04,10800.0,76
LG,20200826,0,이정용,46.0,7.0,6.0,63.0,54.0,10.0,1.0,0.0,3.0,6.0,0.0,1.0,20.0,238.0,15.419999999999998,37800.0,322
LG,20200826,0,정우영,51.0,3.0,3.0,62.0,56.0,9.0,0.0,0.0,0.0,3.0,1.0,1.0,17.0,224.0,13.569999999999997,112000.0,294
LG,20200827,0,고우석,33.0,3.0,3.0,43.0,39.0,7.0,3.0,0.0,1.0,4.0,0.0,0.0,12.0,181.0,20.31,220000.0,220
LG,20200827,0,김윤식,82.0,17.0,17.0,122.0,106.0,26.0,7.0,0.0,2.0,13.0,0.0,2.0,18.0,470.0,9.629999999999999,16200.0,120
LG,20200827,0,정우영,55.0,3.0,3.0,69.0,60.0,9.0,0.0,0.0,0.0,4.0,1.0,3.0,18.0,255.0,14.519999999999996,120000.0,315
LG,20200828,0,김대현,11.0,4.0,4.0,18.0,17.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,68.0,6.99,48000.0,92
