GDAY_DS,T_ID,HEADER_NO,START_CK,AB,RUN,HIT,H2,H3,HR,TB,RBI,SB,CS,BB,HP,IB,KK,GD,SH,SF,PA,TB_SC
20200814,HT,0,9.0,31.0,7.0,7.0,2.0,0.0,1.0,12.0,6.0,0.0,0.0,8.0,1.0,0.0,3.0,0.0,0.0,0.0,40.0,B
20200814,KT,0,9.0,47.0,5.0,12.0,3.0,0.0,0.0,15.0,4.0,2.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,49.0,T
20200814,LG,0,9.0,43.0,10.0,18.0,2.0,1.0,4.0,34.0,10.0,0.0,0.0,5.0,0.0,0.0,6.0,1.0,1.0,0.0,49.0,T
20200814,LT,0,9.0,31.0,5.0,11.0,2.0,0.0,0.0,13.0,5.0,0.0,1.0,5.0,0.0,1.0,6.0,0.0,1.0,1.0,38.0,B
20200814,NC,0,9.0,36.0,4.0,8.0,3.0,0.0,0.0,11.0,4.0,1.0,0.0,3.0,1.0,0.0,13.0,0.0,0.0,0.0,40.0,B
20200814,OB,0,9.0,45.0,3.0,10.0,0.0,0.0,2.0,16.0,3.0,2.0,0.0,8.0,0.0,2.0,9.0,1.0,0.0,0.0,53.0,B
20200814,SK,0,9.0,31.0,6.0,12.0,1.0,0.0,0.0,13.0,6.0,3.0,2.0,8.0,1.0,0.0,6.0,2.0,2.0,1.0,42.0,T
20200814,SS,0,9.0,41.0,10.0,15.0,4.0,0.0,1.0,22.0,10.0,2.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,44.0,T
20200814,WO,0,9.0,32.0,1.0,5.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,35.0,T
20200815,HH,0,9.0,30.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,5.0,0.0,0.0,7.0,1.0,0.0,0.0,39.0,B
20200815,HT,0,9.0,41.0,10.0,17.0,2.0,1.0,1.0,24.0,10.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,44.0,B
20200815,KT,0,9.0,34.0,5.0,7.0,2.0,1.0,1.0,14.0,4.0,1.0,0.0,6.0,1.0,0.0,8.0,0.0,0.0,0.0,43.0,T
20200815,LG,0,9.0,40.0,13.0,15.0,4.0,0.0,2.0,25.0,11.0,0.0,0.0,3.0,1.0,0.0,9.0,0.0,0.0,1.0,45.0,T
20200815,LT,0,9.0,35.0,1.0,7.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,36.0,B
20200815,NC,0,9.0,34.0,4.0,10.0,0.0,0.0,2.0,16.0,4.0,0.0,0.0,2.0,1.0,0.0,13.0,1.0,0.0,1.0,38.0,B
20200815,OB,0,9.0,38.0,7.0,13.0,1.0,0.0,1.0,17.0,7.0,3.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,41.0,B
20200815,SK,0,9.0,33.0,3.0,9.0,2.0,0.0,0.0,11.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,33.0,T
20200815,SS,0,9.0,29.0,2.0,3.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,4.0,0.0,0.0,11.0,0.0,1.0,0.0,34.0,T
20200815,WO,0,9.0,34.0,3.0,9.0,4.0,0.0,0.0,13.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,36.0,T
20200816,HH,0,9.0,26.0,3.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,35.0,B
20200816,HT,0,9.0,38.0,8.0,15.0,2.0,0.0,1.0,20.0,7.0,0.0,1.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,41.0,B
20200816,KT,0,9.0,35.0,4.0,11.0,5.0,0.0,0.0,16.0,4.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0,2.0,1.0,41.0,T
20200816,LG,0,9.0,32.0,6.0,7.0,0.0,0.0,2.0,13.0,6.0,0.0,1.0,8.0,0.0,0.0,3.0,1.0,1.0,0.0,41.0,T
20200816,LT,0,9.0,30.0,3.0,6.0,1.0,0.0,0.0,7.0,3.0,3.0,0.0,4.0,1.0,0.0,5.0,3.0,0.0,1.0,36.0,B
20200816,NC,0,9.0,34.0,5.0,9.0,5.0,0.0,0.0,14.0,5.0,0.0,0.0,2.0,1.0,0.0,6.0,2.0,0.0,0.0,37.0,B
20200816,OB,0,9.0,28.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,6.0,1.0,0.0,6.0,2.0,0.0,0.0,35.0,B
20200816,SK,0,9.0,34.0,5.0,7.0,2.0,0.0,0.0,9.0,5.0,0.0,0.0,7.0,0.0,0.0,13.0,0.0,0.0,0.0,40.0,T
